tiempo,H1,H2,H3,H4,V1,V2,Gamma_1,Gamma_2,modo,ref_H1,ref_H2,Ki,Kd,Kp,Kw,Filtro
29.682,32.794423274119055,35.97009015865905,12.21241550060371,19.15612155007032,-1.0,-1.0,0.6,0.7,Automático,0.0,0.0,0.8,0.0,1.0,1.0,0.5
30.214,32.22168776061527,35.46166288330095,11.769845469709201,18.70534838992459,-1.0,-1.0,0.6,0.7,Automático,0.0,0.0,0.8,0.0,1.0,1.0,0.5
30.775,31.625274877643964,34.932616532651714,11.314265024887293,18.239282714218206,-1.0,-1.0,0.6,0.7,Automático,0.0,0.0,0.8,0.0,1.0,1.0,0.5
31.164,31.300104096682013,34.644346998940556,11.068156328952206,17.98661679799342,-1.0,-1.0,0.6,0.7,Automático,0.0,0.0,0.8,0.0,1.0,1.0,0.5
31.634,30.724487798723512,34.1343525284755,10.636452241253677,17.54184022794954,1.0,-1.0,0.6,0.7,Automático,15.0,0.0,0.8,0.6,1.0,1.0,0.5
32.12,30.66228182163434,33.663463184442435,10.241714620525254,17.407616292702357,-1.0,-1.0,0.6,0.7,Automático,15.0,0.0,0.8,0.6,1.0,1.0,0.5
32.689,30.401822435602103,33.23703923211249,9.886595368164748,17.169108376062617,-1.0,-1.0,0.6,0.7,Automático,20.0,0.0,0.8,0.6,1.0,1.0,0.5
33.175,30.118585944975365,32.98950506637915,9.681959962155155,16.95463580812506,-1.0,-1.0,0.6,0.7,Automático,20.0,0.0,0.8,0.6,1.0,1.0,0.5
33.706,29.289129102464077,32.26515928345377,9.089756541989662,16.33095098709727,-1.0,-1.0,0.6,0.7,Automático,20.0,0.0,0.8,0.6,1.0,1.0,0.5
34.18,29.082668658430215,32.08499262278601,8.943997143373103,16.176730763634282,-1.0,-1.0,0.6,0.7,Automático,20.0,0.0,0.8,0.6,1.0,1.0,0.5
34.632,28.66254393823847,31.71853587110247,8.64942994745294,15.86417011505321,-1.0,-1.0,0.6,0.7,Automático,20.0,0.0,0.8,0.6,1.0,1.0,0.5
35.21,27.83697985475736,30.999078800472883,8.078600019704869,15.254916314454874,-1.0,-1.0,0.6,0.7,Automático,20.0,0.0,0.8,0.6,1.0,1.0,0.5
35.638,27.50914913027916,30.71362564510713,7.8548890919312475,15.01480642045797,-1.0,1.0,0.6,0.7,Automático,20.0,17.0,0.8,0.6,1.0,1.0,0.5
